School,Year,G,W,L,W-L%,SRS,SOS,,W,L,,W,L,,W,L,,Tm.,Opp.,,Pace,ORtg,FTr,3PAr,TS%,TRB%,AST%,STL%,BLK%,eFG%,TOV%,ORB%,FT/FGA
Clemson,2000-2001,31,12,19,0.387,2.73,8.31,,2,14,,9,7,,1,9,,2298,2471,,74.2,99.1,0.346,0.368,0.525,49.5,54.5,8.1,5.8,0.490,18.5,32.7,0.243
Cleveland State,2000-2001,32,19,13,0.594,2.06,1.56,,9,5,,11,2,,6,8,,2192,2165,,66.6,101.7,0.463,0.309,0.523,52.2,44.7,9.7,10.9,0.479,18.9,38.4,0.318
Coastal Carolina,2000-2001,28,8,20,0.286,-13.37,-6.62,,6,8,,6,7,,2,12,,1984,2173,,72.2,96.5,0.382,0.314,0.531,47.2,56.2,11.8,4.7,0.493,21.7,34.7,0.269
Colgate,2000-2001,28,13,15,0.464,-10.86,-8.14,,6,6,,9,3,,4,10,,1979,2004,,70.7,98.6,0.499,0.244,0.533,49.4,54.3,10.1,6.3,0.482,20.6,34.7,0.355
College of Charleston,2000-2001,29,22,7,0.759,1.62,-4.56,,12,4,,13,0,,6,4,,1942,1739,,63.2,105.5,0.412,0.238,0.544,50.7,63.6,11.2,13.8,0.494,17.0,34.8,0.313
Colorado,2000-2001,30,15,15,0.500,11.11,5.66,,5,11,,8,7,,6,6,,2419,2250,,74.9,106.3,0.431,0.285,0.552,53.3,61.8,10.0,7.9,0.512,18.4,37.1,0.307
Colorado State,2000-2001,28,15,13,0.536,5.51,2.35,,6,8,,10,3,,2,8,,1932,1774,,64.3,106.3,0.449,0.326,0.572,53.4,64.9,8.9,4.6,0.545,20.1,34.9,0.300
Columbia,2000-2001,27,12,15,0.444,-10.78,-7.50,,7,7,,9,3,,2,12,,1539,1591,,61.7,91.2,0.407,0.369,0.524,48.6,64.8,8.3,11.2,0.482,22.0,25.1,0.288
Connecticut,2000-2001,32,20,12,0.625,10.17,5.43,,8,8,,17,2,,1,8,,2348,2185,,68.9,106.1,0.406,0.161,0.532,54.1,51.6,11.6,9.7,0.492,17.9,42.9,0.284
Coppin State,2000-2001,28,13,15,0.464,-12.04,-9.40,,11,8,,7,5,,4,9,,1806,1880,,,95.5,0.372,0.268,0.504,49.1,40.8,8.6,8.2,0.455,19.6,33.7,0.276
Cornell,2000-2001,27,7,20,0.259,-14.40,-7.52,,3,11,,4,8,,3,9,,1686,1832,,65.4,95.1,0.360,0.393,0.484,49.6,50.5,10.9,4.4,0.447,17.2,32.9,0.240
Creighton NCAA,2000-2001,32,24,8,0.750,12.41,3.01,,14,4,,14,0,,7,5,,2325,2024,,68.1,106.2,0.400,0.389,0.548,50.8,62.2,13.4,10.3,0.512,16.7,32.3,0.281
Dartmouth,2000-2001,27,8,19,0.296,-14.38,-7.34,,3,11,,6,7,,2,11,,1720,1883,,66.9,94.8,0.341,0.460,0.516,45.5,67.4,8.8,6.1,0.478,18.3,23.5,0.242
Davidson,2000-2001,32,15,17,0.469,-8.76,-3.66,,7,9,,10,4,,2,9,,2208,2238,,71.9,95.6,0.385,0.306,0.514,51.1,56.6,9.1,9.5,0.480,21.1,34.5,0.255
Dayton,2000-2001,34,21,13,0.618,9.71,6.12,,9,7,,12,6,,6,6,,2418,2296,,,108.3,0.387,0.370,0.551,53.4,63.1,9.2,6.5,0.510,18.0,39.2,0.284
Delaware,2000-2001,30,20,10,0.667,1.90,-6.03,,14,4,,12,2,,7,8,,2252,2014,,69.8,106.7,0.334,0.378,0.561,52.6,57.8,10.4,12.5,0.535,19.5,35.2,0.230
Delaware State,2000-2001,28,13,15,0.464,-15.11,-10.97,,11,7,,8,3,,5,11,,1785,1901,,,100.1,0.313,0.372,0.518,46.9,61.6,10.7,6.7,0.492,18.0,32.8,0.207
Denver,2000-2001,28,10,18,0.357,-7.28,-1.28,,5,11,,6,9,,4,8,,1888,1978,,71.4,93.6,0.325,0.299,0.492,51.1,51.2,9.2,6.0,0.470,19.6,34.6,0.194
DePaul,2000-2001,30,12,18,0.400,5.34,8.02,,4,12,,8,8,,3,8,,2168,2219,,,103.5,0.384,0.315,0.526,51.2,57.3,7.6,8.8,0.492,17.4,35.8,0.259
Detroit Mercy,2000-2001,37,25,12,0.676,7.83,2.44,,10,4,,13,0,,9,7,,2600,2381,,63.4,110.5,0.347,0.366,0.548,51.9,51.4,9.1,7.9,0.520,15.9,38.5,0.236
Drake,2000-2001,28,12,16,0.429,0.83,-0.21,,8,10,,10,5,,2,10,,1965,1936,,65.9,105.5,0.388,0.350,0.573,51.3,57.6,7.5,6.2,0.530,18.1,27.8,0.295
Drexel,2000-2001,27,15,12,0.556,-4.06,-5.43,,12,6,,9,2,,5,9,,2025,1988,,71.6,104.3,0.401,0.288,0.559,53.9,56.8,7.4,4.9,0.528,19.7,34.3,0.273
Duke NCAA,2000-2001,39,35,4,0.897,32.18,11.98,,13,3,,13,2,,9,1,,3538,2750,,76.8,117.8,0.396,0.418,0.588,50.7,57.6,13.7,10.5,0.561,15.0,37.0,0.275
Duquesne,2000-2001,30,9,21,0.300,-3.14,3.96,,3,13,,7,6,,0,12,,2116,2329,,,98.2,0.423,0.265,0.531,49.1,45.0,9.1,5.5,0.490,20.3,34.0,0.295
East Carolina,2000-2001,28,14,14,0.500,-4.24,-3.16,,6,10,,10,3,,3,11,,2018,2044,,69.6,100.9,0.406,0.413,0.528,49.2,54.0,8.2,4.2,0.482,16.8,28.6,0.294
East Tennessee State,2000-2001,28,18,10,0.643,-3.06,-6.14,,13,3,,11,2,,7,7,,2034,1825,,71.8,100.7,0.423,0.284,0.517,53.1,51.6,13.8,8.7,0.491,19.0,38.6,0.261
Eastern Illinois NCAA,2000-2001,31,21,10,0.677,0.99,-2.45,,11,5,,13,0,,5,9,,2564,2439,,74.2,111.0,0.337,0.302,0.572,49.6,56.2,8.5,7.9,0.533,16.0,32.9,0.261
Eastern Kentucky,2000-2001,26,7,19,0.269,-13.60,-2.73,,1,15,,6,7,,1,12,,1895,2099,,75.5,95.6,0.365,0.295,0.501,49.0,49.5,8.9,9.0,0.472,19.3,35.5,0.231
Eastern Michigan,2000-2001,28,3,25,0.107,-11.43,-0.79,,1,17,,3,11,,0,14,,1672,1970,,,91.1,0.386,0.324,0.503,46.2,53.0,7.2,6.8,0.472,20.7,27.9,0.247
Eastern Washington,2000-2001,28,17,11,0.607,0.05,-0.75,,11,5,,8,4,,7,7,,2010,1925,,69.4,102.5,0.507,0.246,0.573,49.2,62.8,10.9,5.0,0.526,21.0,29.8,0.370
Elon,2000-2001,29,9,20,0.310,-17.91,-9.17,,4,10,,7,5,,1,14,,1873,2064,,66.6,96.1,0.347,0.345,0.528,47.0,49.5,10.1,8.7,0.495,20.9,30.8,0.239
Evansville,2000-2001,30,14,16,0.467,-1.67,1.77,,9,9,,10,4,,4,9,,2066,2146,,66.8,101.0,0.389,0.316,0.575,47.0,70.3,7.3,5.7,0.545,20.2,24.4,0.273
Fairfield,2000-2001,28,12,16,0.429,-6.44,-3.51,,8,10,,5,5,,6,9,,2069,2151,,72.2,100.2,0.456,0.252,0.524,51.9,51.7,10.8,10.0,0.472,19.2,37.0,0.329
FDU,2000-2001,28,13,15,0.464,-11.42,-8.45,,10,10,,7,4,,6,10,,1919,2002,,68.6,99.0,0.439,0.386,0.523,49.3,56.7,10.9,6.1,0.499,19.6,33.8,0.265
Florida NCAA,2000-2001,31,24,7,0.774,21.36,7.55,,12,4,,14,2,,8,3,,2509,2081,,72.4,111.4,0.431,0.379,0.590,51.7,63.4,12.0,9.4,0.554,17.5,30.9,0.315
Florida A&M,2000-2001,28,6,22,0.214,-22.88,-10.23,,4,14,,5,9,,1,12,,1876,2230,,73.4,90.9,0.463,0.338,0.492,47.2,46.7,11.4,9.5,0.450,22.2,37.0,0.300
Florida Atlantic,2000-2001,31,7,24,0.226,-16.06,-3.79,,5,13,,3,10,,3,12,,2119,2519,,,93.3,0.294,0.317,0.482,49.6,54.4,8.7,5.2,0.448,19.6,36.8,0.203
Florida International,2000-2001,29,8,21,0.276,-9.15,-0.68,,5,11,,5,10,,2,10,,1727,1947,,62.0,95.6,0.366,0.302,0.509,45.7,41.9,9.7,2.6,0.470,18.6,29.1,0.256
Florida State,2000-2001,30,9,21,0.300,3.20,11.00,,4,12,,6,10,,2,8,,2085,2288,,68.9,98.8,0.388,0.267,0.506,50.8,52.4,8.8,8.6,0.469,17.9,36.2,0.260
Fordham,2000-2001,29,12,17,0.414,0.53,5.33,,4,12,,8,6,,2,10,,2148,2287,,,98.7,0.331,0.344,0.503,48.7,55.4,12.0,9.4,0.471,18.0,36.1,0.222
Fresno State NCAA,2000-2001,33,26,7,0.788,15.65,5.13,,13,3,,17,1,,6,4,,2689,2342,,73.6,109.8,0.391,0.334,0.559,50.7,62.1,13.5,15.3,0.529,18.6,34.6,0.266
Furman,2000-2001,26,10,16,0.385,-7.70,-6.02,,5,11,,6,6,,4,10,,1730,1725,,65.9,99.5,0.329,0.316,0.508,48.7,55.1,10.3,7.3,0.480,16.6,32.5,0.214
George Mason NCAA,2000-2001,30,18,12,0.600,5.12,-0.35,,11,5,,10,1,,6,9,,2127,1963,,68.1,103.3,0.371,0.257,0.530,50.3,52.4,12.2,11.4,0.501,17.6,34.5,0.245
George Washington,2000-2001,32,14,18,0.438,8.37,6.30,,6,10,,9,6,,2,9,,2470,2404,,72.6,105.1,0.409,0.342,0.521,50.2,50.8,10.9,8.6,0.477,16.3,37.5,0.291
Georgetown NCAA,2000-2001,33,25,8,0.758,12.06,1.58,,10,6,,13,3,,7,3,,2574,2228,,74.1,105.3,0.386,0.265,0.514,55.7,59.2,13.3,14.8,0.481,18.0,45.3,0.255
Georgia NCAA,2000-2001,31,16,15,0.516,12.72,12.75,,9,7,,9,4,,5,7,,2257,2258,,68.6,104.8,0.347,0.226,0.532,53.2,55.7,9.1,12.2,0.503,18.6,36.5,0.234
Georgia Southern,2000-2001,30,15,15,0.500,-6.57,-5.50,,9,7,,8,4,,5,10,,2296,2261,,74.5,102.3,0.342,0.275,0.518,51.6,48.3,10.3,6.4,0.487,17.3,37.6,0.229
Georgia State NCAA,2000-2001,34,29,5,0.853,5.25,-3.72,,16,2,,16,0,,10,4,,2701,2337,,71.7,110.8,0.391,0.377,0.551,49.8,48.3,14.4,9.4,0.516,15.1,36.3,0.274
Georgia Tech NCAA,2000-2001,30,17,13,0.567,14.52,11.79,,8,8,,12,3,,3,8,,2269,2187,,75.1,100.2,0.363,0.384,0.531,48.4,62.9,10.5,10.8,0.497,18.2,30.3,0.251
Gonzaga NCAA,2000-2001,33,26,7,0.788,12.57,0.32,,13,1,,13,1,,9,5,,2720,2272,,70.6,116.3,0.528,0.338,0.606,53.6,58.7,8.2,10.2,0.579,17.4,35.0,0.360
Grambling,2000-2001,26,8,18,0.308,-20.70,-10.24,,8,10,,5,4,,3,14,,1953,2225,,,101.4,0.352,0.289,0.505,48.1,43.6,10.2,9.4,0.465,18.4,35.5,0.248
Green Bay,2000-2001,28,11,17,0.393,-2.16,2.56,,4,10,,8,7,,3,9,,1632,1764,,60.2,96.3,0.402,0.249,0.517,48.3,51.0,7.3,7.1,0.475,18.6,29.1,0.281
Hampton NCAA,2000-2001,32,25,7,0.781,-3.66,-10.60,,14,4,,10,1,,11,5,,2471,2246,,70.9,107.6,0.452,0.311,0.551,51.7,52.8,9.5,13.6,0.515,17.9,38.2,0.309
Hartford,2000-2001,28,4,24,0.143,-16.83,-5.79,,1,17,,3,11,,1,12,,1821,2130,,68.6,93.9,0.397,0.325,0.498,49.1,51.4,8.8,6.9,0.463,20.5,36.6,0.258
Harvard,2000-2001,26,14,12,0.538,-6.89,-8.51,,7,7,,10,3,,4,9,,1864,1822,,73.4,97.2,0.309,0.363,0.531,49.7,60.4,13.6,6.4,0.505,20.4,30.7,0.208
Hawaii NCAA,2000-2001,31,17,14,0.548,6.88,7.23,,8,8,,13,5,,2,8,,2254,2265,,70.3,102.5,0.391,0.298,0.558,49.9,69.9,8.3,5.7,0.520,20.4,33.8,0.284
High Point,2000-2001,28,8,20,0.286,-18.26,-7.98,,3,11,,8,5,,0,15,,1681,1903,,66.7,88.8,0.325,0.306,0.470,47.0,53.9,13.0,5.7,0.437,21.0,34.5,0.211
Hofstra NCAA,2000-2001,31,26,5,0.839,5.12,-5.47,,16,2,,12,1,,11,2,,2257,1929,,70.0,103.6,0.487,0.304,0.553,54.2,52.8,10.9,10.3,0.524,20.0,36.4,0.315
Holy Cross NCAA,2000-2001,30,22,8,0.733,-0.31,-5.84,,10,2,,13,1,,9,6,,2034,1868,,66.8,101.1,0.654,0.270,0.540,55.6,60.2,9.3,14.3,0.493,21.4,39.9,0.430
Houston,2000-2001,29,9,20,0.310,-1.33,4.91,,6,10,,6,7,,1,12,,1897,2078,,,95.5,0.471,0.233,0.500,51.6,49.8,8.3,6.7,0.450,19.6,36.4,0.325
Howard,2000-2001,28,10,18,0.357,-19.91,-10.37,,8,10,,6,4,,4,12,,1914,2181,,71.8,94.8,0.421,0.339,0.499,43.8,52.8,9.8,4.3,0.449,18.0,30.0,0.300
Idaho,2000-2001,27,6,21,0.222,-12.17,-0.01,,3,13,,5,9,,1,12,,1720,1992,,69.4,90.2,0.397,0.329,0.471,46.3,50.7,9.9,6.1,0.432,17.8,29.5,0.255
Idaho State,2000-2001,28,14,14,0.500,-2.10,-1.41,,10,6,,8,6,,5,6,,2074,2044,,68.3,106.0,0.353,0.378,0.560,49.4,60.9,7.4,7.5,0.521,17.6,30.7,0.266
Illinois NCAA,2000-2001,35,27,8,0.771,23.32,11.38,,13,3,,12,0,,7,4,,2725,2307,,71.0,108.4,0.430,0.331,0.553,54.8,59.2,10.7,11.6,0.514,17.5,38.4,0.303
Illinois State,2000-2001,30,21,9,0.700,5.97,0.57,,12,6,,13,2,,7,6,,2257,2095,,70.3,105.7,0.473,0.255,0.557,49.4,54.3,11.5,7.6,0.510,17.0,30.2,0.344
Illinois-Chicago,2000-2001,28,11,17,0.393,-0.06,3.55,,5,9,,9,6,,2,10,,1901,2002,,68.0,97.6,0.410,0.219,0.478,49.8,58.1,8.5,5.9,0.437,15.0,35.3,0.268
Indiana NCAA,2000-2001,34,21,13,0.618,17.58,11.05,,10,6,,13,2,,4,6,,2408,2186,,69.8,100.8,0.424,0.264,0.529,51.4,59.8,9.7,12.8,0.500,17.9,31.5,0.270
Indiana State NCAA,2000-2001,34,22,12,0.647,6.97,2.51,,10,8,,12,2,,5,8,,2479,2305,,66.8,108.0,0.412,0.317,0.554,47.7,60.5,10.3,7.1,0.517,15.2,29.2,0.291
Iona NCAA,2000-2001,33,22,11,0.667,0.25,-4.10,,12,6,,12,2,,8,6,,2549,2375,,74.4,103.1,0.434,0.219,0.557,51.4,52.7,10.5,13.0,0.523,19.6,33.5,0.299
Iowa NCAA,2000-2001,35,23,12,0.657,14.25,10.71,,7,9,,12,4,,5,6,,2593,2469,,69.1,106.1,0.564,0.302,0.540,54.7,58.2,7.8,6.6,0.485,17.8,38.6,0.397
Iowa State NCAA,2000-2001,31,25,6,0.806,15.90,4.87,,13,3,,16,0,,6,4,,2451,2115,,70.4,109.6,0.493,0.251,0.572,56.3,52.1,8.5,8.1,0.527,17.9,36.2,0.359
IU Indy,2000-2001,29,11,18,0.379,-5.23,-3.34,,6,10,,7,6,,3,11,,2057,2008,,,102.8,0.464,0.243,0.520,50.8,48.8,11.0,8.8,0.473,17.5,36.5,0.325
Jackson State,2000-2001,30,7,23,0.233,-18.44,-10.44,,7,11,,4,5,,3,16,,2012,2247,,,92.2,0.352,0.203,0.480,49.5,47.4,8.8,5.3,0.445,19.6,35.9,0.232
Jacksonville,2000-2001,28,18,10,0.643,-5.83,-8.31,,11,7,,12,2,,6,7,,1962,1784,,,104.7,0.371,0.311,0.539,51.0,49.9,11.9,13.7,0.509,18.6,36.9,0.249
Jacksonville State,2000-2001,28,9,19,0.321,-14.41,-5.70,,6,12,,7,4,,0,12,,1819,2059,,69.3,92.5,0.365,0.332,0.499,51.1,62.6,9.4,8.0,0.466,22.1,37.0,0.239
James Madison,2000-2001,29,12,17,0.414,-5.06,-1.85,,6,10,,9,5,,3,11,,1880,1973,,67.0,96.4,0.374,0.281,0.492,50.9,49.5,9.4,7.3,0.454,18.5,37.1,0.251
Kansas NCAA,2000-2001,33,26,7,0.788,20.23,9.04,,12,4,,14,1,,8,4,,2707,2286,,74.4,110.2,0.395,0.233,0.571,54.9,64.0,8.8,12.4,0.548,18.3,38.7,0.261
Kansas City,2000-2001,30,14,16,0.467,-1.56,-3.45,,9,7,,9,5,,5,9,,1889,1815,,,101.2,0.250,0.444,0.510,43.7,56.8,12.1,8.7,0.476,13.3,25.8,0.190
Kansas State,2000-2001,29,11,18,0.379,3.96,8.41,,4,12,,8,7,,2,10,,1843,1972,,68.6,91.8,0.385,0.184,0.479,51.1,52.2,7.8,8.6,0.442,19.1,34.4,0.250
Kent State NCAA,2000-2001,34,24,10,0.706,8.69,1.44,,13,5,,10,2,,7,5,,2390,2117,,64.4,108.3,0.385,0.269,0.527,48.4,52.1,10.6,8.3,0.476,13.2,34.0,0.294
Kentucky NCAA,2000-2001,34,24,10,0.706,20.32,11.12,,12,4,,11,1,,6,6,,2713,2400,,72.1,110.2,0.366,0.345,0.563,51.9,54.6,9.3,10.8,0.541,17.6,39.2,0.240
La Salle,2000-2001,29,12,17,0.414,2.27,4.79,,5,11,,7,4,,3,12,,2011,2086,,68.0,100.3,0.323,0.358,0.505,49.7,52.4,8.3,10.4,0.472,17.4,37.4,0.220
Lafayette,2000-2001,28,12,16,0.429,-8.83,-7.45,,4,8,,7,5,,4,9,,2110,2111,,71.4,103.3,0.392,0.391,0.546,46.1,61.2,12.0,11.3,0.504,17.8,30.3,0.287
Lamar,2000-2001,27,9,18,0.333,-16.84,-8.96,,7,13,,8,5,,1,13,,1696,1875,,66.2,93.5,0.423,0.326,0.497,50.0,45.2,7.6,7.4,0.465,19.6,32.4,0.263
